Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,62.42,75.75,77.83,75.77,84.68,78.42,85.87,80.73,93.57,93,88.65,97.21,94.29,101.67,95.99,102.34,100.02,96.07,112.55,118.09,113.74,..
Bangladesh,BGD,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,61.36,63.17,64.86,63.83,71.77,74.12,78.4,84.55,85.07,90.16,93.31,94.1,96.33,98.72,100.48,100.8,107.85,107.75,108.34,111.48,116.39,..
Bhutan,BTN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,50.73,48.85,52.68,62.77,92.24,104.86,102.35,86.54,80.46,83.7,102.4,91.85,89.25,93.34,96.13,110.53,109.79,95.2,102.23,111.02,99.35,..
India,IND,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,64.8,60.16,66.28,65.48,68.89,72.55,78.64,80.37,78.84,84.84,90.1,92.35,96.6,99.25,98.49,102.26,108.86,114.18,116.09,120.06,123.84,..
Maldives,MDV,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,124.96,120.16,142.37,169.04,133.22,148.14,125.73,124.19,118.41,113.63,104.84,98.37,95.15,98.34,99.67,101.99,101.5,100.68,104.66,105.61,93.86,..
Nepal,NPL,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,63.7,65.31,67.64,70.39,71.96,73.03,72.55,77.74,81.59,82.32,88.87,97.14,94.12,99.16,99.25,101.59,106.38,108.08,114.04,120.43,122.25,..
Pakistan,PAK,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,59.09,60.3,62.95,65.19,68.38,69.89,73.83,77.46,78.67,79.29,83.58,83.64,103.52,98.12,100.15,101.73,108.4,107.09,113.59,119.78,126.52,..
Sri Lanka,LKA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,66.67,67.7,70.36,67.02,73.32,74.81,74.12,82.75,81.48,89.51,85.74,90.74,99.17,89.76,105.56,104.68,83.18,105,107.94,125.88,130.31,..
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,,,,,,,,,,,
